(860L, 105L, 'DESF      ', Decimal('2.80'), Decimal('100.00'), 'O', 4, 3, Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('2.00'), Decimal('2.00'), Decimal('3.00'), Decimal('3.00'), Decimal('2.00'), Decimal('3.00'), Decimal('3.00'), Decimal('2.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('2.00'), Decimal('4.00'), Decimal('2.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'))
(863L, 106L, 'TIPO_FUSTE', None, None, 'A', 3, None, Decimal('1.00'), Decimal('1.00'), Decimal('3.00'), Decimal('1.00'), Decimal('1.00'), Decimal('3.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('3.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('2.00'))
(101L, 16L, 'CATEGORIA ', None, None, 'A', 1, None, Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('3.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('3.00'), Decimal('2.00'), Decimal('3.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'))
(864L, 106L, 'DESF      ', Decimal('3.08'), Decimal('100.00'), 'O', 4, 3, Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('4.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('4.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'))
(865L, 107L, 'CATEGORIA ', None, None, 'A', 1, None, Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('3.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('2.00'), Decimal('1.00'))
(102L, 16L, 'DAP       ', Decimal('17.86'), Decimal('100.00'), 'A', 2, 0, Decimal('12.00'), Decimal('14.00'), Decimal('12.50'), Decimal('15.00'), Decimal('15.50'), Decimal('19.00'), Decimal('19.50'), Decimal('4.50'), Decimal('11.00'), Decimal('19.00'), Decimal('11.50'), Decimal('14.50'), Decimal('16.00'), Decimal('17.00'), Decimal('18.00'), Decimal('10.50'), Decimal('11.50'), Decimal('118.00'), Decimal('16.50'), Decimal('6.00'), Decimal('12.50'), Decimal('5.00'), Decimal('21.00'), Decimal('11.00'), Decimal('15.50'))
(866L, 107L, 'DAP       ', Decimal('73.28'), Decimal('100.00'), 'A', 2, 0, Decimal('28.00'), Decimal('31.00'), Decimal('27.00'), Decimal('22.50'), Decimal('24.50'), Decimal('32.00'), Decimal('26.00'), Decimal('32.00'), Decimal('25.00'), Decimal('25.00'), Decimal('28.00'), Decimal('27.50'), Decimal('28.00'), Decimal('30.00'), Decimal('32.00'), Decimal('21.50'), Decimal('24.00'), Decimal('22.00'), Decimal('31.00'), Decimal('20.00'), Decimal('23.00'), Decimal('25.00'), Decimal('24.00'), Decimal('24.00'), Decimal('33.50'))
(103L, 16L, 'TIPO_FUSTE', None, None, 'A', 3, None, Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('4.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'))
(115L, 17L, 'DESF      ', Decimal('3.29'), Decimal('100.00'), 'O', 4, 3, Decimal('3.00'), Decimal('4.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('3.00'), Decimal('3.00'), Decimal('0.00'), Decimal('0.00'), Decimal('5.00'), Decimal('0.00'), Decimal('3.00'), Decimal('0.00'), Decimal('5.00'), Decimal('0.00'), Decimal('0.00'), Decimal('2.00'), Decimal('0.00'))
(105L, 13L, 'DESF      ', Decimal('4.91'), Decimal('100.00'), 'O', 6, 5, Decimal('5.00'), Decimal('5.00'), Decimal('5.00'), Decimal('5.00'), Decimal('5.00'), Decimal('5.00'), Decimal('5.00'), Decimal('5.00'), Decimal('5.00'), Decimal('5.00'), Decimal('0.00'), Decimal('5.00'), Decimal('5.00'), Decimal('0.00'), Decimal('5.00'), Decimal('5.00'), Decimal('5.00'), Decimal('5.00'), Decimal('5.00'), Decimal('5.00'), Decimal('4.00'), Decimal('4.00'), Decimal('0.00'), Decimal('5.00'), Decimal('5.00'))
(107L, 13L, 'EXU       ', Decimal('1.57'), Decimal('47.62'), 'O', 8, 2, Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('1.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('1.00'), Decimal('0.00'), Decimal('1.00'), Decimal('1.00'), Decimal('0.00'), Decimal('2.00'), Decimal('2.00'), Decimal('2.00'), Decimal('1.00'), Decimal('2.00'), Decimal('3.00'), Decimal('0.00'), Decimal('2.00'), Decimal('0.00'), Decimal('1.00'), Decimal('3.00'))
